Date,Product_ID,Product_Name,Category,Warehouse,Units_Sold,Inventory_Left,Price,Demand_Forecast
2024-01-02,P048,Product_48,Electronics,W3,18,88,739.53,20
2024-01-02,P049,Product_49,Stationery,W2,17,73,93.89,16
2024-01-02,P050,Product_50,Electronics,W3,28,75,391.28,25
2024-01-03,P001,Product_1,Groceries,W2,11,91,85.27,16
2024-01-03,P002,Product_2,Clothing,W3,14,91,84.36,11
2024-01-03,P003,Product_3,Electronics,W2,11,80,627.13,13
2024-01-03,P004,Product_4,Stationery,W3,12,91,26.33,19
2024-01-03,P005,Product_5,Clothing,W2,28,67,39.26,19
2024-01-03,P006,Product_6,Clothing,W3,13,85,92.79,19
2024-01-03,P007,Product_7,Stationery,W3,32,74,19.43,37
2024-01-03,P008,Product_8,Clothing,W1,2,98,72.22,11
2024-01-03,P009,Product_9,Stationery,W2,37,60,118.7,39
2024-01-03,P010,Product_10,Clothing,W2,26,73,283.46,36
2024-01-03,P011,Product_11,Electronics,W2,26,82,414.12,25
2024-01-03,P012,Product_12,Stationery,W2,38,68,97.04,30
2024-01-03,P013,Product_13,Electronics,W3,17,77,941.99,24
2024-01-03,P014,Product_14,Groceries,W3,28,64,81.13,37
2024-01-03,P015,Product_15,Groceries,W1,23,72,97.41,19
2024-01-03,P016,Product_16,Electronics,W2,20,81,459.08,18
2024-01-03,P017,Product_17,Clothing,W3,19,90,235.75,17
2024-01-03,P018,Product_18,Clothing,W1,28,75,297.91,29
2024-01-03,P019,Product_19,Groceries,W2,30,68,53.87,30
2024-01-03,P020,Product_20,Electronics,W2,12,95,459.24,26
2024-01-03,P021,Product_21,Electronics,W2,14,77,498.31,15
2024-01-03,P022,Product_22,Groceries,W2,19,80,7.66,12
2024-01-03,P023,Product_23,Clothing,W2,23,79,126.35,30
2024-01-03,P024,Product_24,Clothing,W2,42,48,98.25,24
2024-01-03,P025,Product_25,Groceries,W1,30,66,30.36,30
2024-01-03,P026,Product_26,Electronics,W1,22,85,329.17,22
2024-01-03,P027,Product_27,Clothing,W1,23,75,273.61,10
2024-01-03,P028,Product_28,Clothing,W1,19,78,49.75,12
2024-01-03,P029,Product_29,Groceries,W2,22,74,98.67,19
2024-01-03,P030,Product_30,Stationery,W3,23,71,101.9,30
2024-01-03,P031,Product_31,Clothing,W1,26,73,208.74,18
2024-01-03,P032,Product_32,Stationery,W2,12,97,115.2,10
2024-01-03,P033,Product_33,Clothing,W2,12,86,37.53,12
2024-01-03,P034,Product_34,Stationery,W3,26,72,119.99,37
2024-01-03,P035,Product_35,Clothing,W2,29,61,255.02,34
2024-01-03,P036,Product_36,Groceries,W3,27,75,21.36,26
2024-01-03,P037,Product_37,Electronics,W2,15,84,531.83,18
2024-01-03,P038,Product_38,Stationery,W2,20,81,82.57,21
2024-01-03,P039,Product_39,Groceries,W3,31,65,99.35,25
2024-01-03,P040,Product_40,Clothing,W1,8,90,271.18,10
2024-01-03,P041,Product_41,Electronics,W1,45,50,456.87,32
2024-01-03,P042,Product_42,Electronics,W2,21,86,828.71,18
2024-01-03,P043,Product_43,Clothing,W3,18,90,272.0,18
2024-01-03,P044,Product_44,Electronics,W2,12,90,788.55,16
2024-01-03,P045,Product_45,Clothing,W2,49,52,135.58,36
2024-01-03,P046,Product_46,Stationery,W3,31,77,91.25,27
2024-01-03,P047,Product_47,Stationery,W3,34,70,33.69,35
2024-01-03,P048,Product_48,Stationery,W1,24,71,129.78,22
2024-01-03,P049,Product_49,Electronics,W2,28,66,523.91,24
2024-01-03,P050,Product_50,Electronics,W1,11,88,368.98,25
2024-01-04,P001,Product_1,Clothing,W3,12,83,168.46,16
2024-01-04,P002,Product_2,Clothing,W1,12,81,295.44,15
2024-01-04,P003,Product_3,Clothing,W1,11,94,275.9,15
2024-01-04,P004,Product_4,Groceries,W3,19,79,53.36,10
2024-01-04,P005,Product_5,Electronics,W3,34,56,788.35,32
2024-01-04,P006,Product_6,Groceries,W1,31,77,75.16,23
2024-01-04,P007,Product_7,Clothing,W1,9,95,52.69,10
2024-01-04,P008,Product_8,Clothing,W3,41,55,221.28,39
2024-01-04,P009,Product_9,Groceries,W1,33,70,47.93,22
2024-01-04,P010,Product_10,Electronics,W1,13,89,720.61,10
2024-01-04,P011,Product_11,Stationery,W3,7,87,80.48,19
2024-01-04,P012,Product_12,Clothing,W2,41,54,298.05,39
2024-01-04,P013,Product_13,Electronics,W1,4,90,649.21,11
2024-01-04,P014,Product_14,Groceries,W2,33,59,80.56,23
2024-01-04,P015,Product_15,Stationery,W2,7,92,126.74,10
2024-01-04,P016,Product_16,Electronics,W2,10,86,341.21,10
2024-01-04,P017,Product_17,Stationery,W2,23,85,63.59,15
2024-01-04,P018,Product_18,Clothing,W2,27,67,196.6,16
2024-01-04,P019,Product_19,Electronics,W2,8,85,712.92,13
2024-01-04,P020,Product_20,Clothing,W2,19,72,49.88,30
2024-01-04,P021,Product_21,Stationery,W2,27,68,118.12,24
2024-01-04,P022,Product_22,Groceries,W3,11,96,94.68,13
2024-01-04,P023,Product_23,Stationery,W1,22,87,21.1,19
2024-01-04,P024,Product_24,Groceries,W3,33,57,84.79,25
2024-01-04,P025,Product_25,Stationery,W3,33,73,99.27,14
2024-01-04,P026,Product_26,Electronics,W1,22,72,301.68,27
2024-01-04,P027,Product_27,Stationery,W2,20,70,128.33,18
2024-01-04,P028,Product_28,Clothing,W1,17,86,159.35,29
2024-01-04,P029,Product_29,Stationery,W3,16,90,39.61,17
2024-01-04,P030,Product_30,Stationery,W3,23,75,149.81,26
2024-01-04,P031,Product_31,Electronics,W1,27,67,781.19,35
2024-01-04,P032,Product_32,Stationery,W3,20,74,68.0,30
2024-01-04,P033,Product_33,Electronics,W2,37,66,472.81,34
2024-01-04,P034,Product_34,Groceries,W2,20,82,12.31,12
2024-01-04,P035,Product_35,Electronics,W1,17,76,862.41,16
2024-01-04,P036,Product_36,Clothing,W3,26,74,245.9,32
2024-01-04,P037,Product_37,Stationery,W3,27,66,97.18,27
2024-01-04,P038,Product_38,Stationery,W1,23,84,96.64,27
2024-01-04,P039,Product_39,Electronics,W2,28,62,771.21,27
2024-01-04,P040,Product_40,Clothing,W1,3,88,113.46,16
2024-01-04,P041,Product_41,Clothing,W2,19,80,130.48,16
2024-01-04,P042,Product_42,Clothing,W2,0,95,247.55,10
2024-01-04,P043,Product_43,Clothing,W3,20,84,129.78,20
2024-01-04,P044,Product_44,Clothing,W1,11,92,223.29,18
2024-01-04,P045,Product_45,Stationery,W1,29,80,129.3,17
2024-01-04,P046,Product_46,Clothing,W2,36,72,69.5,38
2024-01-04,P047,Product_47,Clothing,W3,35,68,278.32,36
2024-01-04,P048,Product_48,Stationery,W1,35,71,46.5,29
2024-01-04,P049,Product_49,Groceries,W3,8,97,84.37,23
2024-01-04,P050,Product_50,Electronics,W2,1,103,530.47,17
2024-01-05,P001,Product_1,Stationery,W2,36,58,25.7,30
2024-01-05,P002,Product_2,Clothing,W3,28,72,257.85,36
2024-01-05,P003,Product_3,Clothing,W2,28,66,225.26,28
2024-01-05,P004,Product_4,Clothing,W2,22,76,237.43,20
2024-01-05,P005,Product_5,Clothing,W3,11,87,145.57,24
2024-01-05,P006,Product_6,Clothing,W1,9,98,137.64,10
2024-01-05,P007,Product_7,Groceries,W3,29,77,76.65,23
2024-01-05,P008,Product_8,Stationery,W1,30,73,122.92,38
2024-01-05,P009,Product_9,Groceries,W1,12,82,14.27,18
2024-01-05,P010,Product_10,Clothing,W1,16,85,195.52,19
2024-01-05,P011,Product_11,Electronics,W1,25,84,691.95,25
2024-01-05,P012,Product_12,Groceries,W1,39,55,50.98,34
2024-01-05,P013,Product_13,Clothing,W3,29,68,171.41,19
2024-01-05,P014,Product_14,Groceries,W2,9,92,98.03,17
2024-01-05,P015,Product_15,Electronics,W3,25,71,951.96,31
2024-01-05,P016,Product_16,Clothing,W1,17,85,224.11,22
2024-01-05,P017,Product_17,Stationery,W1,35,70,131.7,39
2024-01-05,P018,Product_18,Groceries,W2,44,55,92.94,30
2024-01-05,P019,Product_19,Clothing,W3,30,62,252.43,28
2024-01-05,P020,Product_20,Stationery,W1,20,88,110.12,29
2024-01-05,P021,Product_21,Stationery,W2,38,52,96.51,29
2024-01-05,P022,Product_22,Clothing,W3,18,91,147.66,17
2024-01-05,P023,Product_23,Stationery,W1,18,82,124.13,23
2024-01-05,P024,Product_24,Electronics,W1,22,83,936.59,22
2024-01-05,P025,Product_25,Stationery,W1,17,86,136.65,16
2024-01-05,P026,Product_26,Groceries,W1,21,84,6.99,22
2024-01-05,P027,Product_27,Stationery,W1,34,73,128.26,37
2024-01-05,P028,Product_28,Stationery,W1,22,85,82.42,17
2024-01-05,P029,Product_29,Electronics,W1,17,76,656.54,13
2024-01-05,P030,Product_30,Stationery,W2,3,87,136.99,13
2024-01-05,P031,Product_31,Groceries,W3,31,71,85.93,28
2024-01-05,P032,Product_32,Electronics,W2,50,53,487.72,35
2024-01-05,P033,Product_33,Groceries,W2,23,84,88.72,23
2024-01-05,P034,Product_34,Clothing,W3,14,85,166.84,15
2024-01-05,P035,Product_35,Stationery,W2,28,64,33.8,15
2024-01-05,P036,Product_36,Stationery,W3,35,74,74.66,39
2024-01-05,P037,Product_37,Clothing,W1,6,102,158.33,14
2024-01-05,P038,Product_38,Electronics,W1,12,92,396.65,27
2024-01-05,P039,Product_39,Electronics,W3,30,76,574.48,32
2024-01-05,P040,Product_40,Electronics,W1,36,73,398.08,38
2024-01-05,P041,Product_41,Electronics,W2,24,75,875.83,21
2024-01-05,P042,Product_42,Clothing,W2,0,98,242.67,11
2024-01-05,P043,Product_43,Stationery,W2,40,50,124.56,36
2024-01-05,P044,Product_44,Electronics,W2,45,63,574.2,33
2024-01-05,P045,Product_45,Clothing,W1,26,77,33.63,13
2024-01-05,P046,Product_46,Electronics,W2,38,55,708.17,27
2024-01-05,P047,Product_47,Electronics,W1,33,69,925.29,31
2024-01-05,P048,Product_48,Electronics,W3,29,78,887.76,26
2024-01-05,P049,Product_49,Groceries,W2,36,55,51.98,36
2024-01-05,P050,Product_50,Electronics,W1,5,95,809.07,17
2024-01-06,P001,Product_1,Clothing,W2,55,45,130.98,57
2024-01-06,P002,Product_2,Stationery,W1,29,77,144.94,28
2024-01-06,P003,Product_3,Stationery,W1,16,86,42.3,24
2024-01-06,P004,Product_4,Electronics,W3,57,39,883.86,53
2024-01-06,P005,Product_5,Groceries,W1,32,75,13.41,40
2024-01-06,P006,Product_6,Electronics,W3,31,74,396.25,31
2024-01-06,P007,Product_7,Stationery,W3,18,90,24.9,20
2024-01-06,P008,Product_8,Groceries,W1,47,43,87.37,52
2024-01-06,P009,Product_9,Stationery,W1,21,71,68.19,24
2024-01-06,P010,Product_10,Stationery,W2,57,51,69.62,54
2024-01-06,P011,Product_11,Electronics,W3,32,66,815.66,38
2024-01-06,P012,Product_12,Electronics,W3,46,48,462.24,48
2024-01-06,P013,Product_13,Clothing,W2,32,68,140.01,32
2024-01-06,P014,Product_14,Clothing,W2,42,59,162.48,37
2024-01-06,P015,Product_15,Stationery,W3,26,83,122.3,22
2024-01-06,P016,Product_16,Stationery,W1,36,64,31.93,30
2024-01-06,P017,Product_17,Stationery,W3,35,62,126.39,30
2024-01-06,P018,Product_18,Stationery,W2,45,47,72.23,32
2024-01-06,P019,Product_19,Stationery,W3,42,50,120.23,31
2024-01-06,P020,Product_20,Groceries,W2,35,73,48.21,33
2024-01-06,P021,Product_21,Clothing,W1,59,45,292.99,56
2024-01-06,P022,Product_22,Clothing,W2,33,70,96.76,29
2024-01-06,P023,Product_23,Groceries,W2,32,60,95.25,34
2024-01-06,P024,Product_24,Groceries,W1,28,74,41.08,25
2024-01-06,P025,Product_25,Groceries,W1,27,67,79.6,41
2024-01-06,P026,Product_26,Electronics,W1,35,59,740.48,33
2024-01-06,P027,Product_27,Clothing,W2,35,73,85.33,37
2024-01-06,P028,Product_28,Stationery,W1,45,54,128.42,54
2024-01-06,P029,Product_29,Groceries,W2,57,52,97.71,58
2024-01-06,P030,Product_30,Electronics,W1,49,41,585.22,47
2024-01-06,P031,Product_31,Electronics,W3,33,73,254.08,41
2024-01-06,P032,Product_32,Clothing,W1,50,41,292.2,45
2024-01-06,P033,Product_33,Electronics,W2,36,56,441.75,31
2024-01-06,P034,Product_34,Electronics,W2,51,40,821.87,51
2024-01-06,P035,Product_35,Stationery,W1,24,69,71.52,20
2024-01-06,P036,Product_36,Stationery,W2,62,37,65.16,58
2024-01-06,P037,Product_37,Stationery,W2,43,53,131.2,43
2024-01-06,P038,Product_38,Clothing,W2,63,30,173.95,44
2024-01-06,P039,Product_39,Clothing,W1,18,79,255.45,28
2024-01-06,P040,Product_40,Stationery,W2,20,76,110.32,22
2024-01-06,P041,Product_41,Clothing,W1,34,72,228.36,37
2024-01-06,P042,Product_42,Electronics,W3,16,87,495.41,24
2024-01-06,P043,Product_43,Electronics,W1,29,66,391.15,28
2024-01-06,P044,Product_44,Stationery,W3,52,54,132.43,53
2024-01-06,P045,Product_45,Groceries,W1,54,41,8.02,53
2024-01-06,P046,Product_46,Clothing,W1,58,47,124.58,50
2024-01-06,P047,Product_47,Stationery,W1,20,76,39.71,27
2024-01-06,P048,Product_48,Groceries,W3,28,73,27.7,27
2024-01-06,P049,Product_49,Stationery,W3,45,46,46.75,47
2024-01-06,P050,Product_50,Stationery,W1,18,79,132.63,23
2024-01-07,P001,Product_1,Clothing,W2,24,69,45.98,23
2024-01-07,P002,Product_2,Stationery,W1,59,36,15.45,56
2024-01-07,P003,Product_3,Electronics,W1,36,55,513.02,36
2024-01-07,P004,Product_4,Stationery,W2,48,53,50.9,39
2024-01-07,P005,Product_5,Groceries,W3,25,73,95.39,29
2024-01-07,P006,Product_6,Groceries,W2,17,73,7.99,23
2024-01-07,P007,Product_7,Clothing,W2,26,65,144.92,28
2024-01-07,P008,Product_8,Stationery,W3,35,66,76.13,40
2024-01-07,P009,Product_9,Clothing,W2,33,57,238.51,28
2024-01-07,P010,Product_10,Clothing,W3,38,61,142.73,27
2024-01-07,P011,Product_11,Clothing,W3,68,36,205.45,59
2024-01-07,P012,Product_12,Groceries,W1,19,71,40.38,22
2024-01-07,P013,Product_13,Stationery,W3,30,61,28.42,33
2024-01-07,P014,Product_14,Electronics,W3,26,79,589.61,25
2024-01-07,P015,Product_15,Groceries,W3,11,90,65.47,20
2024-01-07,P016,Product_16,Electronics,W1,66,34,238.15,50
2024-01-07,P017,Product_17,Electronics,W3,17,78,539.73,24
2024-01-07,P018,Product_18,Electronics,W3,38,62,532.77,47
2024-01-07,P019,Product_19,Electronics,W2,40,59,730.51,45
2024-01-07,P020,Product_20,Electronics,W2,43,47,858.16,36
2024-01-07,P021,Product_21,Stationery,W1,57,51,105.75,56
2024-01-07,P022,Product_22,Stationery,W3,47,52,142.43,44
2024-01-07,P023,Product_23,Electronics,W2,33,72,733.15,38
2024-01-07,P024,Product_24,Electronics,W1,43,65,613.21,40
2024-01-07,P025,Product_25,Electronics,W2,59,44,771.35,52
2024-01-07,P026,Product_26,Electronics,W1,55,46,215.15,45
2024-01-07,P027,Product_27,Clothing,W2,40,65,86.33,44
2024-01-07,P028,Product_28,Stationery,W3,42,50,89.4,42
2024-01-07,P029,Product_29,Electronics,W1,27,72,208.75,28
2024-01-07,P030,Product_30,Electronics,W3,13,77,601.57,22
2024-01-07,P031,Product_31,Electronics,W1,39,64,679.62,45
2024-01-07,P032,Product_32,Stationery,W2,46,60,47.88,37
2024-01-07,P033,Product_33,Clothing,W3,34,57,123.64,30
2024-01-07,P034,Product_34,Clothing,W3,24,66,81.81,26
2024-01-07,P035,Product_35,Groceries,W1,53,55,5.49,56
2024-01-07,P036,Product_36,Groceries,W1,24,78,64.0,32
2024-01-07,P037,Product_37,Electronics,W1,48,50,623.48,44
2024-01-07,P038,Product_38,Electronics,W3,46,51,246.72,51
2024-01-07,P039,Product_39,Stationery,W3,52,52,77.61,50
2024-01-07,P040,Product_40,Electronics,W1,44,63,839.7,43
2024-01-07,P041,Product_41,Electronics,W2,19,76,628.15,24
2024-01-07,P042,Product_42,Clothing,W2,56,45,269.26,58
2024-01-07,P043,Product_43,Clothing,W2,42,61,243.93,39
2024-01-07,P044,Product_44,Electronics,W1,67,34,539.24,56
2024-01-07,P045,Product_45,Groceries,W1,25,74,8.67,40
2024-01-07,P046,Product_46,Electronics,W2,46,58,655.52,50
2024-01-07,P047,Product_47,Electronics,W3,35,59,200.07,41
2024-01-07,P048,Product_48,Electronics,W3,33,73,400.62,30
2024-01-07,P049,Product_49,Clothing,W1,56,46,257.31,53
2024-01-07,P050,Product_50,Electronics,W2,57,38,457.52,56
2024-01-08,P001,Product_1,Clothing,W3,39,51,89.8,21
2024-01-08,P002,Product_2,Groceries,W1,9,83,62.92,11
2024-01-08,P003,Product_3,Electronics,W3,8,94,996.57,14
2024-01-08,P004,Product_4,Groceries,W3,30,77,91.08,24
2024-01-08,P005,Product_5,Electronics,W2,22,70,758.18,21
2024-01-08,P006,Product_6,Groceries,W3,20,82,39.82,34
2024-01-08,P007,Product_7,Clothing,W1,20,86,166.61,24
2024-01-08,P008,Product_8,Groceries,W1,29,77,69.63,17
2024-01-08,P009,Product_9,Groceries,W1,26,77,42.37,24
2024-01-08,P010,Product_10,Groceries,W3,0,102,68.96,10
2024-01-08,P011,Product_11,Groceries,W2,40,65,62.53,32
2024-01-08,P012,Product_12,Clothing,W3,16,84,118.58,22
2024-01-08,P013,Product_13,Stationery,W2,28,78,58.36,26
2024-01-08,P014,Product_14,Stationery,W3,18,83,41.42,25
2024-01-08,P015,Product_15,Stationery,W1,33,59,88.47,35
2024-01-08,P016,Product_16,Stationery,W1,32,77,50.19,31
2024-01-08,P017,Product_17,Electronics,W1,0,101,255.92,11
2024-01-08,P018,Product_18,Clothing,W1,32,60,110.69,31
2024-01-08,P019,Product_19,Electronics,W1,16,74,771.82,12
2024-01-08,P020,Product_20,Clothing,W1,4,95,161.81,16
2024-01-08,P021,Product_21,Electronics,W2,20,81,917.38,16
2024-01-08,P022,Product_22,Clothing,W3,27,66,83.92,34
2024-01-08,P023,Product_23,Groceries,W2,30,76,45.01,27
2024-01-08,P024,Product_24,Groceries,W2,3,99,77.98,12
2024-01-08,P025,Product_25,Groceries,W3,27,82,32.63,16
2024-01-08,P026,Product_26,Stationery,W3,37,53,142.9,31
2024-01-08,P027,Product_27,Electronics,W2,9,100,476.46,14
2024-01-08,P028,Product_28,Clothing,W2,42,64,284.59,35
2024-01-08,P029,Product_29,Groceries,W3,17,84,15.08,11
2024-01-08,P030,Product_30,Stationery,W2,12,81,20.51,15
2024-01-08,P031,Product_31,Groceries,W1,36,70,17.63,33
2024-01-08,P032,Product_32,Clothing,W3,19,86,131.93,12
2024-01-08,P033,Product_33,Groceries,W3,7,89,93.83,18
2024-01-08,P034,Product_34,Groceries,W3,19,72,63.08,11
2024-01-08,P035,Product_35,Clothing,W3,40,61,76.55,30
2024-01-08,P036,Product_36,Electronics,W3,26,69,384.4,33
2024-01-08,P037,Product_37,Clothing,W3,23,67,47.63,23
2024-01-08,P038,Product_38,Clothing,W2,10,99,288.11,18
2024-01-08,P039,Product_39,Clothing,W3,15,93,234.25,17
2024-01-08,P040,Product_40,Stationery,W2,40,52,90.32,33
2024-01-08,P041,Product_41,Stationery,W3,25,84,64.94,20
2024-01-08,P042,Product_42,Stationery,W2,47,59,49.21,35
2024-01-08,P043,Product_43,Stationery,W2,37,69,73.13,27
2024-01-08,P044,Product_44,Clothing,W2,13,82,64.93,23
2024-01-08,P045,Product_45,Groceries,W2,29,75,75.38,29
2024-01-08,P046,Product_46,Stationery,W3,28,79,141.38,20
2024-01-08,P047,Product_47,Stationery,W3,35,70,100.65,30
2024-01-08,P048,Product_48,Groceries,W3,12,80,80.54,22
2024-01-08,P049,Product_49,Groceries,W3,10,82,27.1,18
2024-01-08,P050,Product_50,Clothing,W3,37,55,268.7,28
2024-01-09,P001,Product_1,Clothing,W1,6,99,271.4,12
2024-01-09,P002,Product_2,Electronics,W1,18,82,930.73,15
2024-01-09,P003,Product_3,Clothing,W2,22,71,218.09,18
2024-01-09,P004,Product_4,Groceries,W3,20,79,28.41,19
2024-01-09,P005,Product_5,Groceries,W1,25,65,72.72,26
2024-01-09,P006,Product_6,Clothing,W1,17,75,240.31,21
2024-01-09,P007,Product_7,Groceries,W1,27,66,92.12,25
2024-01-09,P008,Product_8,Groceries,W3,16,79,31.03,14
2024-01-09,P009,Product_9,Electronics,W3,16,89,439.86,11
2024-01-09,P010,Product_10,Clothing,W1,16,82,106.07,21
2024-01-09,P011,Product_11,Stationery,W2,27,73,66.54,22
2024-01-09,P012,Product_12,Electronics,W1,39,61,428.32,38
2024-01-09,P013,Product_13,Groceries,W3,39,54,61.16,33
2024-01-09,P014,Product_14,Stationery,W1,27,63,18.55,39
2024-01-09,P015,Product_15,Electronics,W1,27,63,747.43,31
2024-01-09,P016,Product_16,Stationery,W2,19,82,103.53,21
2024-01-09,P017,Product_17,Electronics,W1,49,52,796.6,39
2024-01-09,P018,Product_18,Stationery,W1,24,84,90.95,23
2024-01-09,P019,Product_19,Stationery,W1,10,93,146.46,14
2024-01-09,P020,Product_20,Clothing,W3,6,101,128.72,13
2024-01-09,P021,Product_21,Groceries,W3,7,84,64.37,10
